date,p1.sm,p2.sm,p3.sm,p4.sm,p5.sm,p6.sm,p7.sm,p8.sm,p9.sm,p10.sm,p11.sm,p12.sm,p13.sm,p14.sm,p15.sm,p16.sm,p17.sm,p18.sm
2015-12-07,0.158,0.217541667,0.203958333,0.167916667,0.188583333,0.1715,0.196333333,0.207541667,0.201166667,0.222708333,0.211583333,0.167,0.218,0.21075,0.151458333,0.188041667,0.197166667,0.206333333
2015-12-08,0.156,0.215208333,0.200833333,0.166125,0.186125,0.169041667,0.194583333,0.204416667,0.197833333,0.220791667,0.2085,0.16425,0.214583333,0.207375,0.148833333,0.186041667,0.19475,0.203708333
2015-12-09,0.154416667,0.213333333,0.198291667,0.164625,0.183833333,0.167416667,0.19325,0.201916667,0.194666667,0.219166667,0.205958333,0.162208333,0.211791667,0.204541667,0.146916667,0.184,0.192583333,0.201291667
2015-12-10,0.159875,0.218375,0.1995,0.169583333,0.187416667,0.168583333,0.19675,0.208333333,0.199958333,0.220583333,0.213791667,0.166458333,0.218166667,0.206,0.14975,0.186208333,0.194875,0.204041667
2015-12-11,0.157125,0.215708333,0.197208333,0.166458333,0.183208333,0.167958333,0.193791667,0.2055,0.196541667,0.220083333,0.208583333,0.164916667,0.214375,0.204583333,0.147416667,0.184375,0.193375,0.201166667
2015-12-12,0.154333333,0.21325,0.194708333,0.163791667,0.180625,0.166208333,0.191708333,0.201916667,0.192958333,0.218375,0.204791667,0.161958333,0.210583333,0.201791667,0.145208333,0.182125,0.190916667,0.198875
2015-12-13,0.152541667,0.211541667,0.192875,0.162125,0.178791667,0.164458333,0.190083333,0.199666667,0.190125,0.216625,0.201875,0.159541667,0.207625,0.199541667,0.143458333,0.180208333,0.188833333,0.197125
2015-12-14,0.153958333,0.213875,0.193,0.162708333,0.18125,0.165708333,0.192416667,0.200333333,0.1925,0.216666667,0.205,0.159833333,0.214208333,0.20625,0.143375,0.182208333,0.188458333,0.197458333
2015-12-15,0.191208333,0.2445,0.23225,0.189041667,0.225,0.200541667,0.226625,0.250208333,0.24,0.243875,0.250083333,0.199541667,0.270375,0.266583333,0.172,0.219166667,0.226125,0.222791667
2015-12-16,0.171833333,0.228833333,0.216625,0.176833333,0.203083333,0.183083333,0.207291667,0.227833333,0.219166667,0.232666667,0.226541667,0.180666667,0.239333333,0.231166667,0.160958333,0.201,0.208041667,0.21575
2015-12-17,0.176083333,0.235708333,0.219125,0.181625,0.205458333,0.183583333,0.214333333,0.233791667,0.227125,0.233708333,0.233416667,0.184416667,0.247666667,0.232375,0.162041667,0.204791667,0.213958333,0.22
2015-12-18,0.181625,0.238916667,0.228208333,0.185541667,0.210833333,0.195458333,0.21725,0.244333333,0.233208333,0.24,0.238208333,0.192625,0.254166667,0.240291667,0.168333333,0.212166667,0.221375,0.226625
