Year,Jday,p1.sm,p2.sm,p3.sm,p4.sm,p5.sm,p6.sm,p7.sm,p8.sm,p9.sm,p10.sm,p11.sm,p12.sm,p13.sm,p14.sm,p15.sm,p16.sm,p17.sm,p18.sm
2020,163,0.127958333,0.181583333,0.147833333,0.146708333,0.168,0.179791667,0.192833333,0.205208333,0.150958333,0.212416667,0.190166667,0.160375,0.177875,0.175416667,0.136208333,0.159791667,0.114041667,0.127208333
2020,164,0.128875,0.182166667,0.149875,0.147125,0.16875,0.178791667,0.190041667,0.205166667,0.153791667,0.212916667,0.188791667,0.161958333,0.176791667,0.178,0.137166667,0.16125,0.116125,0.127625
2020,165,0.12125,0.172916667,0.143125,0.142958333,0.163583333,0.173625,0.182791667,0.199541667,0.147666667,0.206791667,0.180166667,0.155708333,0.166916667,0.171833333,0.133875,0.156833333,0.110833333,0.121708333
2020,166,0.116166667,0.166625,0.13775,0.139625,0.159958333,0.171,0.178583333,0.195291667,0.1435,0.202333333,0.175083333,0.151708333,0.160708333,0.167875,0.131291667,0.153958333,0.10625,0.116375
2020,167,0.112375,0.161416667,0.133,0.136666667,0.156916667,0.168375,0.175208333,0.191833333,0.13975,0.198375,0.170583333,0.148166667,0.155291667,0.164666667,0.129166667,0.150958333,0.102166667,0.111541667
2020,168,0.108208333,0.155583333,0.1275,0.132916667,0.153666667,0.16575,0.170791667,0.188041667,0.136208333,0.193916667,0.165875,0.144166667,0.148708333,0.161458333,0.12725,0.14775,0.097291667,0.106375
2020,169,0.103,0.148541667,0.120833333,0.128208333,0.150041667,0.162708333,0.165375,0.183166667,0.131708333,0.189125,0.160416667,0.139166667,0.141041667,0.157875,0.125083333,0.144625,0.091375,0.100583333
2020,170,0.099375,0.142458333,0.114916667,0.124208333,0.146333333,0.16025,0.160458333,0.178583333,0.126791667,0.1815,0.155375,0.133625,0.134458333,0.154875,0.122666667,0.140208333,0.087166667,0.0955
2020,171,0.095916667,0.13675,0.109416667,0.119916667,0.142916667,0.157708333,0.155541667,0.174416667,0.122541667,0.174,0.150916667,0.128791667,0.127833333,0.151708333,0.1205,0.136208333,0.083166667,0.091125
2020,172,0.09225,0.129875,0.1035,0.115041667,0.139083333,0.154833333,0.149791667,0.169458333,0.118625,0.168958333,0.145833333,0.124541667,0.120833333,0.148208333,0.118791667,0.133666667,0.079166667,0.086458333
2020,173,0.088,0.122541667,0.097458333,0.110083333,0.134875,0.151666667,0.143208333,0.164375,0.11475,0.163791667,0.14075,0.120166667,0.113916667,0.14475,0.116666667,0.131041667,0.07525,0.082291667
2020,174,0.085125,0.115916667,0.092375,0.105291667,0.130916667,0.14875,0.137333333,0.159625,0.110708333,0.158708333,0.135666667,0.116291667,0.108041667,0.141458333,0.11475,0.128458333,0.072208333,0.07875
