SWaN1,,,,,,,,
DateTime,,SensorID,,VWC,,Temp,,BEC
9/4/19 0:00,,4,,2259.87,,23,,1
9/4/19 0:00,,1,,2237.66,,18.3,,2
9/4/19 0:00,,2,,2244.32,,19.7,,1
9/4/19 0:00,,3,,2453.45,,21.5,,2
9/4/19 0:00,,4,,2257.01,,23,,2
9/4/19 0:00,,1,,2238.43,,18.3,,2
9/4/19 0:00,,2,,2244.89,,19.6,,1
9/4/19 0:00,,3,,2450.37,,21.5,,2
9/4/19 0:00,,4,,2260.17,,22.9,,1
9/4/19 0:00,,1,,2238.5,,18.3,,3
9/4/19 0:00,,2,,2243.73,,19.5,,1
9/4/19 0:00,,3,,2450.89,,21.5,,2
9/4/19 0:00,,4,,2260.5,,22.8,,1
9/4/19 0:00,,1,,2238.8,,18.3,,2
9/4/19 0:00,,2,,2244.01,,19.4,,1
9/4/19 0:00,,3,,2453.34,,21.5,,2
9/4/19 0:00,,4,,2259.99,,22.7,,1
9/4/19 0:00,,1,,2230.68,,18.3,,2
9/4/19 0:00,,2,,2242.04,,19.4,,1
9/4/19 0:00,,3,,2449.9,,21.5,,2
9/4/19 0:00,,4,,2259.74,,22.7,,2
9/4/19 0:00,,1,,2230.01,,18.3,,3
9/4/19 0:00,,2,,2245.65,,19.3,,2
9/4/19 0:00,,3,,2453.15,,21.5,,2
9/4/19 0:00,,4,,2261.5,,22.6,,1
9/4/19 0:00,,1,,2230.15,,18.3,,2
9/4/19 0:00,,2,,2242.21,,19.2,,1
9/4/19 0:00,,3,,2453.14,,21.5,,2
9/4/19 0:00,,4,,2257.73,,22.5,,1
9/4/19 0:00,,1,,2238.49,,18.3,,2
9/4/19 0:00,,2,,2244.99,,19.1,,1
9/4/19 0:00,,3,,2450.46,,21.4,,2
9/4/19 0:00,,4,,2260.93,,22.4,,1
9/4/19 0:00,,1,,2227.87,,18.3,,2
9/4/19 0:00,,2,,2242.61,,19,,1
9/4/19 0:00,,3,,2449.68,,21.4,,2
9/4/19 0:00,,4,,2255.07,,22.3,,1
9/4/19 0:00,,1,,1868.13,,18.3,,3
9/4/19 0:00,,2,,1860.88,,18.9,,2
9/4/19 0:00,,3,,2006.56,,21.4,,2
10/18/19 0:00,,1,,2148.35,,15.3,,2
10/18/19 0:00,,2,,2151.66,,14.8,,1
10/18/19 0:00,,3,,2203.14,,18,,1
10/18/19 0:00,,4,,2106.84,,18.1,,1
10/18/19 0:00,,1,,2148.15,,15.2,,2
10/18/19 0:00,,2,,2148.03,,14.7,,1
10/18/19 0:00,,3,,2203.24,,17.9,,1
10/18/19 0:00,,4,,2102.93,,18,,1
10/18/19 0:00,,1,,2149.14,,15.2,,2
10/18/19 0:00,,2,,2147.5,,14.6,,1
10/18/19 0:00,,3,,2207.18,,17.9,,1
10/18/19 0:00,,4,,2107.58,,18,,1
10/18/19 0:00,,1,,2143.4,,15.2,,2
10/18/19 0:00,,2,,2148.71,,14.5,,1
10/18/19 0:00,,3,,2206.15,,17.9,,1
10/18/19 0:00,,4,,2104.52,,18,,1
10/18/19 0:00,,1,,2148.35,,15.2,,2
10/18/19 0:00,,2,,2151.42,,14.5,,1
10/18/19 0:00,,3,,2202.45,,17.8,,1
10/18/19 0:00,,4,,2107.41,,17.9,,1
10/18/19 0:00,,1,,2148.69,,15.1,,2
10/18/19 0:00,,2,,2148.06,,14.4,,1
10/18/19 0:00,,3,,2202.17,,17.8,,1
10/18/19 0:00,,4,,2101.88,,17.9,,1
10/18/19 0:00,,1,,2148.29,,15.1,,2
10/18/19 0:00,,2,,2150.36,,14.4,,1
10/18/19 0:00,,3,,2201.02,,17.8,,1
10/18/19 0:00,,4,,2105.94,,18,,1
10/18/19 0:00,,1,,2147.27,,15.1,,2
10/18/19 0:00,,2,,2148.92,,14.5,,1
10/18/19 0:00,,3,,2200.03,,17.8,,1
10/18/19 0:00,,4,,2100.82,,18,,1
10/18/19 0:00,,1,,2146.21,,15.1,,2
10/18/19 0:00,,2,,2147.14,,14.6,,1
10/18/19 0:00,,3,,2199.2,,17.8,,1
10/18/19 0:00,,4,,2097.15,,18.1,,1
10/18/19 0:00,,1,,2144.72,,15,,2
10/18/19 0:00,,2,,2147.53,,14.8,,1
10/18/19 0:00,,3,,2198.83,,17.7,,1
10/18/19 0:00,,4,,2101.59,,18.3,,1
10/18/19 0:00,,1,,2146.34,,15,,2
10/18/19 0:00,,2,,2141.58,,14.9,,1
10/18/19 0:00,,3,,2197.61,,17.7,,1
10/18/19 0:00,,4,,2093.8,,18.4,,1
10/18/19 0:00,,1,,2146.19,,15,,2
10/18/19 0:00,,2,,2144.94,,15,,1
10/18/19 0:00,,3,,2199.96,,17.7,,1
10/18/19 0:00,,4,,2092.59,,18.4,,1
10/18/19 0:00,,1,,1973.32,,15,,2
10/18/19 0:00,,2,,1967.2,,15,,1
10/18/19 0:00,,3,,1992.77,,17.8,,1
10/18/19 0:00,,4,,1917.14,,18.5,,1
12/16/19 0:00,,1,,NA,,NA,,NA
12/16/19 0:00,,2,,NA,,NA,,NA
12/16/19 0:00,,3,,NA,,NA,,NA
12/16/19 0:00,,4,,NA,,NA,,NA
3/11/20 0:00,,1,,NA,,NA,,NA
3/11/20 0:00,,2,,NA,,NA,,NA
3/11/20 0:00,,3,,NA,,NA,,NA
3/11/20 0:00,,4,,NA,,NA,,NA
7/7/20 0:00,,1,,NA,,NA,,NA
7/7/20 0:00,,2,,NA,,NA,,NA
7/7/20 0:00,,3,,NA,,NA,,NA
7/7/20 0:00,,4,,NA,,NA,,NA
9/15/20 0:00,,1,,2207.71,,16.2,,2
9/15/20 0:00,,2,,2237.14,,15,,2
9/15/20 0:00,,3,,2317.63,,19.1,,1
9/15/20 0:00,,4,,2223.2,,19.2,,1
9/15/20 0:00,,1,,2231.68,,16.2,,2
9/15/20 0:00,,2,,2246.61,,15,,2
9/15/20 0:00,,3,,2325.89,,19.1,,1
9/15/20 0:00,,4,,2234.07,,19.1,,1
9/15/20 0:00,,1,,2231.5,,16.2,,3
9/15/20 0:00,,2,,2243.67,,15,,2
9/15/20 0:00,,3,,2323.66,,19.1,,2
9/15/20 0:00,,4,,2230.2,,19.1,,2
9/15/20 0:00,,1,,2230.86,,16.2,,3
9/15/20 0:00,,2,,2246.26,,15,,2
9/15/20 0:00,,3,,2325.23,,19.1,,1
9/15/20 0:00,,4,,2229.92,,19.1,,2
9/15/20 0:00,,1,,2224.42,,16.2,,2
9/15/20 0:00,,2,,2243.84,,15,,2
9/15/20 0:00,,3,,2324.91,,19.1,,2
9/15/20 0:00,,4,,2232.18,,19.1,,1
9/15/20 0:00,,1,,2223.38,,16.2,,2
9/15/20 0:00,,2,,2243.02,,15,,2
9/15/20 0:00,,3,,2324.83,,19.1,,1
9/15/20 0:00,,4,,2232.23,,19.1,,1
9/15/20 0:00,,1,,2223.68,,16.2,,2
9/15/20 0:00,,2,,2244.47,,15,,2
9/15/20 0:00,,3,,2325.61,,19.1,,1
9/15/20 0:00,,4,,2228.5,,19.1,,2
9/15/20 0:00,,1,,2231.44,,16.2,,3
9/15/20 0:00,,2,,2243.01,,15,,1
9/15/20 0:00,,3,,2325.56,,19.1,,1
9/15/20 0:00,,4,,2231.25,,19.1,,1
9/15/20 0:00,,1,,2231.21,,16.2,,2
9/15/20 0:00,,2,,2243.76,,15,,2
9/15/20 0:00,,3,,2322.77,,19.1,,2
9/15/20 0:00,,4,,2226.83,,19.1,,2
9/15/20 0:00,,1,,2223.4,,16.2,,2
9/15/20 0:00,,2,,2243.42,,15,,1
9/15/20 0:00,,3,,2322.68,,19.1,,1
9/15/20 0:00,,4,,2229.6,,19.1,,1
